Usuario;Nº de partida;Palabra;Puntos de palabra;Longitud Palabra;Nº de vocales;Nº de consonantes;Vertical u Horizontal (V/H);Palabra ganadora (S/N)
Antonio;1;dadas;7;5;2;3;H;N
Antonio;1;divan;9;5;2;3;V;N
Antonio;1;han;6;3;1;2;H;N
Antonio;1;canora;8;6;3;3;H;N
Antonio;1;veo;6;3;2;1;V;N
Antonio;1;enoje;12;5;3;2;V;N
Antonio;1;debo;7;4;2;2;H;N
Antonio;1;su;2;2;1;1;H;N
Antonio;1;goles;6;5;2;3;H;S
Antonio;2;dadas;7;5;2;3;H;N
Antonio;2;divan;9;5;2;3;V;N
Antonio;2;han;6;3;1;2;H;N
Antonio;2;canora;8;6;3;3;H;N
Antonio;3;dadas;7;5;2;3;H;N
Antonio;3;divan;9;5;2;3;V;N
Antonio;3;han;6;3;1;2;H;N
Antonio;3;canora;8;6;3;3;H;N
Antonio;3;veo;6;3;2;1;V;N
Antonio;3;enoje;12;5;3;2;V;S
Antonio;3;debo;7;4;2;2;H;N
Antonio;3;su;2;2;1;1;H;N
Antonio;3;goles;6;5;2;3;H;N
Antonio;4;veo;6;3;2;1;V;N
Antonio;4;enoje;12;5;3;2;V;N
Antonio;4;debo;7;4;2;2;H;S
Antonio;4;su;2;2;1;1;H;N
Luis;5;dadas;7;5;2;3;H;N
Luis;5;divan;9;5;2;3;V;N
Luis;5;han;6;3;1;2;H;N
Luis;5;canora;8;6;3;3;H;N
Luis;5;veo;6;3;2;1;V;S
Luis;5;enoje;12;5;3;2;V;N
Luis;5;su;2;2;1;1;H;N
Luis;5;goles;6;5;2;3;H;N
Luis;6;su;2;2;1;1;H;N
Luis;6;goles;6;5;2;3;H;N
Maria;7;debo;7;4;2;2;H;N
Maria;7;goles;6;5;2;3;H;N
Maria;7;dadas;7;5;2;3;H;N
Maria;7;su;2;2;1;1;H;S
Maria;7;enoje;12;5;3;2;V;N
Antonio;8;canora;8;6;3;3;H;N
Antonio;8;dadas;7;5;2;3;H;N
Antonio;8;divan;9;5;2;3;V;N
